,num,text
0,1,необходимый вообще компетентный вообще
1,1,бандитский личный сразу логистический вообще нормальный очень удобный
2,1,добрый давний вполне обычный нормальный электрический очень быстро расстроенный буто простой должный далеко видечестно
3,1,активно различный недавний банковский равный несколько личный далее разный последний навсегда бесповоротно пвз назад личный благополучно снова заново желаемый абсолютно внимательно окончательно высокий
4,1,добрый вайлдберис впервые нужный старый маленький близкий мол дешевый большой розничный нормально далее российский далее обратный домой новый гигиенический долго следующий вообще следующий банковский четко ныне наверное далеко заранее
5,1,возврат ныне очередной мочь многий ранее электронный личный исключительно приятный знакомый
6,1,сразу личный неправильный ошибочно также оригинальный невскрытый невозвратный налицо неправильный налицо добропорядочный бесконечный снова платный
7,1,последний старенький больной очень трехкратный закупочный личный абсолютно грамматический грубый русский подмосковный высокий высокий закупочный противно ужасно очень
8,1,
9,1,
10,1,общий значительно дорого подобный скоро
11,1,новый понятный обязанный бесплатно товарный нехотя вышеуказанный должный товарный предпродажный необходимый настолько очередной должный моментально
12,1,далеко напоиск торговый
13,1,приветсейчас актуальный очень последний часто банковский удобный нужный приблизительный забавный пока ждатьвообще понятный вымретоднозначный сомнительный паршивый постоянный многий
14,1,исправный несколько определенный определенный большой должный аналогичный бесплатный лишний плохой
15,1,сразу постоянно платный дорого гораздо хороший
16,1,отвратительный недавний абсолютно целый определенный необходимый мировой знаменитый натуральный толтко намного высокий поддельный поддельный последний вайлдберис поздно обратно небольшой неприятный хороший окончательно бесповоротно
17,1,мышиный обратно домой личный слишком быстро давно давно
18,1,личный банковский приаязанный корректный некорректный
19,1,напольный летний положительный средний ценовый гораздо хлипкий отвратительный хороший недобросовестный обратно
20,1,очень сильный химический адресумосковский банковский неоднократно личный денежный электронный конкретный впустую личный электронный очень мутный финансовый
21,1,сегодня полный немного ранее
22,1,общий последний часто сразу серьезный снова равный скоро мягко постоянный
23,1,приятный фишинговый вообще
24,1,отвратительный зубной естественно сразу видимо удаленный
25,1,точно выгодный бесплатный снова сомнительный искренне
26,1,обычный магазинный мерный вообще страшный герметичный совершенно свободно лихой
27,1,целый вдребезги добровольно безответственный
28,1,быстро низко видимо нужный сраный назади бесячий назад
29,1,совершенно личный возможно главный совершенно
30,1,часто недокомплектованный грязный помятый известный
31,1,сразу намного медленный явно второстепенный важный вверх вниз настоящий мягкий невозвратный
32,1,снова внутренний сильно судя неправильно похожий целый плохо скорый известный возмутительно известный очень неприятно
33,1,постоянный сегодня сортировочный горячий письменно сразу сегодня высоко шаблонно
34,1,личный преднамеренно сразу невозвратный тушеный вообще хамский практически удобный возможный должный товарный полный должный невозвратный фактический обратно советский доставочный пластиковый драный массажный тухлый
35,1,должный
36,1,осторожно новый некачественный личный низко стандартный настоящий обратный обратный напрямую торговый далеко тотже пока бдительный зеркально старый русский равный конецконкретный некачественный очень популярный страшный несимметричный изнутри синий белый отдельный общий сразу дома высоко
37,1,ранее согласный внимательный ужасный
38,1,добрый добрый очень долго вечно
39,1,дважды верно должный странный личный долгий злосчастный повторно вдвое дорого должный сначала прошлый долго
40,1,должный последний
41,1,сегодня полный немного ранее
42,1,общий последний часто сразу серьезный снова равный скоро мягко постоянный
43,1,приятный фишинговый вообще
44,1,отвратительный зубной естественно сразу видимо удаленный
45,1,точно выгодный бесплатный снова сомнительный искренне
46,1,обычный магазинный мерный вообще страшный герметичный совершенно свободно лихой
47,1,целый вдребезги добровольно безответственный
48,1,быстро низко видимо нужный сраный назади бесячий назад
49,1,совершенно личный возможно главный совершенно
50,1,часто недокомплектованный грязный помятый известный
51,1,сразу намного медленный явно второстепенный важный вверх вниз настоящий мягкий невозвратный
52,1,снова внутренний сильно судя неправильно похожий целый плохо скорый известный возмутительно известный очень неприятно
53,1,постоянный сегодня сортировочный горячий письменно сразу сегодня высоко шаблонно
54,1,личный преднамеренно сразу невозвратный тушеный вообще хамский практически удобный возможный должный товарный полный должный невозвратный фактический обратно советский доставочный пластиковый драный массажный тухлый
55,1,должный
